series,location,keywords,numpages,articleno,booktitle,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,pages,month,journal,issn,number,volume,issue_date,note
DESTION '25,"Irvine, CA, USA","Augmentation, Diagnostic, Pipeline, Provenance, Uncertainty Quantification",6.0,6.0,Proceedings of the 7th Workshop on Design Automation for CPS and IoT,10.1145/3722573.3727831,https://doi.org/10.1145/3722573.3727831,"New York, NY, USA",Association for Computing Machinery,9798400716041.0,2025,Uncertainty Quantification and Data Provenance for Data Pipeline Security Analysis,"Dadeboe, Alberta and Mansourifard, Farzaneh and Sugrim, Shridatt",inproceedings,10.1145/3722573.3727831,,,,,,,,
SAC '24,"Avila, Spain","secure software development, security metrics, practitioners",10.0,,Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,10.1145/3605098.3635892,https://doi.org/10.1145/3605098.3635892,"New York, NY, USA",Association for Computing Machinery,9798400702433.0,2024,You cannot improve what you do not measure: A triangulation study of software security metrics,"Kudriavtseva, Arina and Gadyatskaya, Olga",inproceedings,10.1145/3605098.3635892,1223–1232,,,,,,,
,,,9.0,,,10.1145/3631519,https://doi.org/10.1145/3631519,"New York, NY, USA",Association for Computing Machinery,,2024,A Roadmap for Using Continuous Integration Environments,"Yu, Liang and Al\'{e}groth, Emil and Chatzipetrou, Panagiota and Gorschek, Tony",article,10.1145/3631519,82–90,May,Commun. ACM,0001-0782,6,67.0,June 2024,
CCSW '24,"Salt Lake City, UT, USA","ci/cd, cloud, cnn-lstm, deep learning, security",10.0,,Proceedings of the 2024 on Cloud Computing Security Workshop,10.1145/3689938.3694779,https://doi.org/10.1145/3689938.3694779,"New York, NY, USA",Association for Computing Machinery,9798400712340.0,2024,Advancing Software Security and Reliability in Cloud Platforms through AI-based Anomaly Detection,"Saleh, Sabbir M. and Sayem, Ibrahim Mohammed and Madhavji, Nazim and Steinbacher, John",inproceedings,10.1145/3689938.3694779,43–52,,,,,,,
,,"Microservice architecture, microservice security, software architecture metrics, software architecture detectors",34.0,16.0,,10.1145/3532183,https://doi.org/10.1145/3532183,"New York, NY, USA",Association for Computing Machinery,,2023,"Microservice Security Metrics for Secure Communication, Identity Management, and Observability","Zdun, Uwe and Queval, Pierre-Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelic, Marjan and Jovanovic, Aleksandar",article,10.1145/3532183,,February,ACM Trans. Softw. Eng. Methodol.,1049-331X,1,32.0,January 2023,
,,,6.0,,,10.1145/3173553,https://doi.org/10.1145/3173553,"New York, NY, USA",Association for Computing Machinery,,2018,"Continuous delivery sounds great, but will it work here?","Humble, Jez",article,10.1145/3173553,34–39,March,Commun. ACM,0001-0782,4,61.0,April 2018,
SBES '23,"Campo Grande, Brazil","continuous delivery, continuous deployment, continuous integration, continuous software engineering, rapid review",10.0,,Proceedings of the XXXVII Brazilian Symposium on Software Engineering,10.1145/3613372.3613390,https://doi.org/10.1145/3613372.3613390,"New York, NY, USA",Association for Computing Machinery,9798400707872.0,2023,Empirical evidence on technical challenges when adopting continuous practices,"Portela, Andr\'{e} and de Fran\c{c}a, Breno Bernard Nicolau",inproceedings,10.1145/3613372.3613390,11–20,,,,,,,
,,,20.0,,,10.1145/3178368.3190610,https://doi.org/10.1145/3178368.3190610,"New York, NY, USA",Association for Computing Machinery,,2017,"Continuous Delivery Sounds Great, but Will It Work Here? It’s not magic, it just requires continuous, daily improvement at all levels.","Humble, Jez",article,10.1145/3178368.3190610,57–76,December,Queue,1542-7730,6,15.0,November-December 2017,
ARES '20,"Virtual Event, Ireland","goal-question-metric approach, information security metrics, security management success factors, systematic literature review",10.0,98.0,"Proceedings of the 15th International Conference on Availability, Reliability and Security",10.1145/3407023.3407059,https://doi.org/10.1145/3407023.3407059,"New York, NY, USA",Association for Computing Machinery,9781450388337.0,2020,SoK: linking information security metrics to management success factors,"Diesch, Rainer and Krcmar, Helmut",inproceedings,10.1145/3407023.3407059,,,,,,,,
WikiSym '13,"Hong Kong, China",,10.0,15.0,Proceedings of the 9th International Symposium on Open Collaboration,10.1145/2491055.2491070,https://doi.org/10.1145/2491055.2491070,"New York, NY, USA",Association for Computing Machinery,9781450318525.0,2013,Security of public continuous integration services,"Gruhn, Volker and Hannebauer, Christoph and John, Christian",inproceedings,10.1145/2491055.2491070,,,,,,,,
