"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bronnikov D.A.; Semenova Z.V.; Nigrey A.A.; Komarov V.A.; Nigrey N.N.","Bronnikov, D.A. (57200729064); Semenova, Z.V. (57201776944); Nigrey, A.A. (57200720879); Komarov, V.A. (57197211324); Nigrey, N.N. (57200720915)","57200729064; 57201776944; 57200720879; 57197211324; 57200720915","Structure of the physical protection system of main pipelines from deliberate threats","2019","Journal of Physics: Conference Series","1210","1","012026","","","","0","10.1088/1742-6596/1210/1/012026","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85065969492&doi=10.1088%2f1742-6596%2f1210%2f1%2f012026&partnerID=40&md5=cd35bc05afee50fab43d0d7b30846d59","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85065969492"
"Yang Y.; Luo X.; Elsayed Y.E.A.N.; Hong C.; Yadav A.; Rogowska M.; Ambat R.","Yang, Yan (36983333500); Luo, Xuan (57193273256); Elsayed, Yousr E. A. N. (57221521983); Hong, Chuanshi (43461332900); Yadav, Abhijeet (57211245210); Rogowska, Magdalena (57218189261); Ambat, Rajan (6602564066)","36983333500; 57193273256; 57221521983; 43461332900; 57211245210; 57218189261; 6602564066","Characteristics of scales and their impacts on under-deposit corrosion in an oil production well","2021","Materials and Corrosion","72","6","","1051","1064","13","11","10.1002/maco.202012095","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85099380573&doi=10.1002%2fmaco.202012095&partnerID=40&md5=f106580d7d34065b7d3318c262498434","Article","Final","","Scopus","2-s2.0-85099380573"
"Zhang J.","Zhang, Jie (55720473700)","55720473700","Study on monitoring system for pipeline security based on multi-sensor data fusion technique","2013","Lecture Notes in Electrical Engineering","210 LNEE","","","791","798","7","0","10.1007/978-3-642-34528-9_83","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84886440043&doi=10.1007%2f978-3-642-34528-9_83&partnerID=40&md5=1848d9a4751c38d52d2b35f1ae6026d9","Conference paper","Final","","Scopus","2-s2.0-84886440043"
"Ruan L.; He C.; Wu B.","Ruan, Li (55965455600); He, Cunfu (55649046100); Wu, Bin (56571767300)","55965455600; 55649046100; 56571767300","Security monitoring system based on a line structure Sagnac interferometer with 3×3 coupler","2016","Optical Engineering","55","6","064108","","","","9","10.1117/1.OE.55.6.064108","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84975472525&doi=10.1117%2f1.OE.55.6.064108&partnerID=40&md5=d4c04b84140124f57f249a84519068f8","Article","Final","","Scopus","2-s2.0-84975472525"
"Garashova S.","Garashova, Sabina (58879436500)","58879436500","UNITED STATES – AZERBAIJAN RELATIONS (1991-2020)","2023","Eminak","44","4","","301","322","21","0","10.33782/eminak2023.4(44).688","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85184735152&doi=10.33782%2feminak2023.4%2844%29.688&partnerID=40&md5=529735c25fda47d69cae176e4bc7908b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184735152"
"Lee A.; Dahan M.; Amin S.","Lee, Andrew (57197713175); Dahan, Mathieu (57189358452); Amin, Saurabh (14033905800)","57197713175; 57189358452; 14033905800","Integration of sUAS-enabled sensing for leak identification with oil and gas pipeline maintenance crews","2017","2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017","","","7991525","1143","1152","9","9","10.1109/ICUAS.2017.7991525","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85034082314&doi=10.1109%2fICUAS.2017.7991525&partnerID=40&md5=695bdfeea41ece2b5c6bfe453922ec18","Conference paper","Final","","Scopus","2-s2.0-85034082314"
"Dadeboe A.; Mansourifard F.; Sugrim S.","Dadeboe, Alberta (60005020800); Mansourifard, Farzaneh (57209231559); Sugrim, Shridatt (48361742800)","60005020800; 57209231559; 48361742800","Uncertainty Quantification and Data Provenance for Data Pipeline Security Analysis","2025","Proceedings of the 2025 Workshop on Design Automation for CPS and IoT, DESTION 2025, 2025 Cyber-Physical Systems and Internet-of-Things Week, CPS-IoT Week 2025 Workshops","","","3727831","","","","0","10.1145/3722573.3727831","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105011048947&doi=10.1145%2f3722573.3727831&partnerID=40&md5=43cf313c8606eecd677de2078bd1b34b","Conference paper","Final","","Scopus","2-s2.0-105011048947"
"Tian F.-J.; Chen J.K.C.","Tian, Fu-Jun (58144289100); Chen, James K.C. (24821815200)","58144289100; 24821815200","Ranking the social-impact factors for major security emergency of oil and gas pipelines in urban","2017","PICMET 2016 - Portland International Conference on Management of Engineering and Technology: Technology Management For Social Innovation, Proceedings","","","7806766","2067","2076","9","3","10.1109/PICMET.2016.7806766","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85016206236&doi=10.1109%2fPICMET.2016.7806766&partnerID=40&md5=fd5780aa723719432041cc499d528dab","Conference paper","Final","","Scopus","2-s2.0-85016206236"
"Schmidt J.","Schmidt, Jürgen (35557450400)","35557450400","Pipeline security - Protection of the critical infrastructure gas; [Pipeline Security - Schutz der kritischen Infrastruktur Gas]","2017","Technische Sicherheit","7","9","","3","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85030856556&partnerID=40&md5=5d5fccd435ed9335fdce9ec1519fca8d","Editorial","Final","","Scopus","2-s2.0-85030856556"
"Díaz J.; Pérez J.E.; Lopez-Peña M.A.; Mena G.A.; Yagüe A.","Díaz, Jessica (35092351500); Pérez, Jorge E. (57218886032); Lopez-Peña, Miguel A. (57217736195); Mena, Gabriel A. (57220572888); Yagüe, Agustín (6603710246)","35092351500; 57218886032; 57217736195; 57220572888; 6603710246","Self-service cybersecurity monitoring as enabler for DevSecops","2019","IEEE Access","7","","8766805","100283","100295","12","47","10.1109/ACCESS.2019.2930000","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85084859519&doi=10.1109%2fACCESS.2019.2930000&partnerID=40&md5=d36de19de7bda421c23d4ef421361e21","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85084859519"
